ComparisonID,Study1,Study2,AvgOddsRatio,ComparisonType
10291856,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1211578493717755,"Same patient, different studies"
10383017,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.08843727168855,"Same patient, different studies"
15483818,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0688251913443378,"Same patient, different studies"
20646778,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0741567973097197,"Same patient, different studies"
21001771,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1115094986418514,"Same patient, different studies"
21272396,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,0.9968725519358286,"Same patient, different studies"
31509843,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.110820471215946,"Same patient, different studies"
37030589,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.141155402833808,"Same patient, different studies"
37178462,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0987655223574881,"Same patient, different studies"
41773404,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,0.9944719399734443,"Same patient, different studies"
50106280,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.063150844542402,"Same patient, different studies"
50109639,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0865442157505354,"Same patient, different studies"
65652206,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1061700259182077,"Same patient, different studies"
67429065,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1477097543452983,"Same patient, different studies"
68539908,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1159886334462876,"Same patient, different studies"
70625336,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0138548234827434,"Same patient, different studies"
70816595,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1130598788275787,"Same patient, different studies"
77891596,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.101003865042766,"Same patient, different studies"
86934089,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.116677801350912,"Same patient, different studies"
90780976,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.113576693293662,"Same patient, different studies"
